folder,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
805-wisconsin-whitewater,29,31,30,30,33,11,27,28,29,28,28,26,32,33,29,0,0,0,0,0,0,0,0,0,0
807-wooster,25,25,26,26,26,8,25,25,26,26,25,0,25,25,24,25,8,3,3,1,0,0,0,0,0
808-wpi,26,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81-bryant,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810-wright-st,32,32,33,32,23,27,31,34,34,34,35,34,35,30,34,33,30,31,32,28,0,0,0,0,0
811-wyoming,30,34,33,34,30,23,29,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812-xavier,30,31,28,30,30,15,30,30,30,30,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
813-yale,27,27,27,27,27,0,27,29,32,27,31,27,28,0,28,29,28,0,0,0,0,0,0,0,0
814-yeshiva,25,25,25,22,23,7,25,24,25,23,22,21,18,20,18,0,0,0,0,0,0,0,0,0,0
815-york-pa,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817-youngstown-st,35,31,32,30,30,18,30,32,32,30,34,31,31,33,30,30,30,30,30,28,28,1,0,0,0
82-bryn-mawr,25,25,25,23,24,0,25,25,25,25,23,20,14,25,25,24,24,6,2,2,1,2,2,2,2
83-bucknell,30,31,31,30,34,10,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8366-goldey-beacom,27,29,30,27,26,0,27,30,28,29,28,29,30,30,0,0,0,0,0,0,0,0,0,0,0
8398-hilbert,26,25,24,27,26,0,27,28,28,26,25,23,25,0,0,0,0,0,0,0,0,0,0,0,0
84-buena-vista,27,25,23,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404-hood,25,25,25,25,26,0,25,25,25,25,25,25,25,25,24,24,0,0,0,0,0,0,0,0,0
8411-ark-monticello,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8490-letourneau,26,27,25,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-buffalo-state,25,25,25,25,25,0,27,25,27,25,25,26,26,25,28,0,0,0,0,0,0,0,0,0,0
8530-mcmurry,25,29,26,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8567-mount-st-joseph,27,28,28,25,23,9,0,26,26,0,26,24,25,25,25,24,0,0,0,0,0,0,0,0,0
8577-nm-highlands,27,27,28,28,28,0,27,28,25,24,25,25,26,26,26,0,0,0,0,0,0,0,0,0,0
8597-martin-luther,25,26,25,25,26,13,25,25,25,26,27,25,26,27,28,24,25,0,0,0,0,0,0,0,0
86-buffalo,30,25,33,28,34,24,31,34,35,32,34,31,30,32,31,32,30,0,0,0,0,0,0,0,0
8600-notre-dame-md,24,27,27,28,24,0,26,26,25,23,25,24,24,20,0,0,0,0,0,0,0,0,0,0,0
8688-st-marys-in,25,25,25,25,26,0,26,27,25,25,25,25,25,25,26,12,0,0,0,0,0,0,0,0,0
87-butler,31,33,32,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8736-southwest-minn-st,29,33,31,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744-southwestern-okla,27,29,31,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8746-southwestern-tx,26,25,25,24,25,9,27,26,28,26,26,28,26,27,27,27,21,4,4,0,4,7,4,4,4
88-cabrini,0,0,0,28,27,1,30,30,29,29,29,28,29,28,0,0,0,0,0,0,0,0,0,0,0
8875-chowan,28,25,23,29,28,15,27,28,28,25,29,27,28,26,0,0,0,0,0,0,0,0,0,0,0
89-caltech,22,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8911-wis-lutheran,30,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8935-converse,28,28,30,28,27,17,31,26,0,26,26,0,26,26,27,0,5,1,6,0,1,0,0,0,0
8965-east-central,27,27,26,27,27,19,28,29,27,28,28,27,28,28,0,0,0,0,0,0,0,0,0,0,0
8968-eastern,25,25,24,24,26,9,26,25,25,26,25,28,26,26,26,25,24,23,25,6,0,0,0,0,0
9-uab,30,32,32,31,31,23,31,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-cal-poly,30,32,31,28,25,24,27,27,28,29,0,29,30,31,32,28,0,0,0,0,0,0,0,0,0
9004-georgian-court,29,28,25,24,26,11,26,29,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9011-fort-hays-st,31,33,33,32,34,26,30,34,33,30,31,34,29,29,29,0,0,0,0,0,0,0,0,0,0
9012-mo-southern-st,30,33,29,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9013-missouri-western,31,30,31,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9081-concordia-st-paul,33,32,28,28,27,17,29,27,31,29,30,29,37,30,28,30,32,33,31,32,31,33,32,29,29
91-cal-poly-pomona,34,31,30,29,23,0,29,31,29,28,28,30,33,27,28,0,0,0,0,0,0,0,0,0,0
92-cal-st-dom-hills,28,36,28,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223-north-greenville,28,28,27,28,28,16,28,29,29,29,29,28,27,26,29,0,0,0,0,0,0,0,0,0,0
929-adams-st,33,31,33,30,27,14,27,25,24,24,25,26,27,0,0,0,0,0,0,0,0,0,0,0,0
93-cal-st-san-bernardino,27,28,28,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934-alderson-broaddus,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938-alvernia,26,26,26,30,26,8,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
94-cal-state-bakersfield,30,30,29,31,25,18,29,31,32,29,31,32,31,0,0,0,0,0,0,0,0,0,0,0,0
947-arkansas-tech,28,26,27,27,29,16,28,31,30,30,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0
